,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,school_holiday,school_holiday_lower,school_holiday_upper,state_holiday,state_holiday_lower,state_holiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-01-02,6729.841593466694,3731.838983882404,10664.474574512948,6729.841593466694,6729.841593466694,640.3122642214224,640.3122642214224,640.3122642214224,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,60.036316485176116,60.036316485176116,60.036316485176116,-59.235997056586115,-59.235997056586115,-59.235997056586115,0.0,0.0,0.0,7370.153857688116
1,2013-01-03,6730.698970609925,3910.795332819763,10265.234057512622,6730.698970609925,6730.698970609925,349.4947815942245,349.4947815942245,349.4947815942245,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,-157.16381236839283,-157.16381236839283,-157.16381236839283,-132.8533508302152,-132.8533508302152,-132.8533508302152,0.0,0.0,0.0,7080.193752204149
2,2013-01-04,6731.556347753156,3317.718903371415,10474.872770631137,6731.556347753156,6731.556347753156,244.44528155389494,244.44528155389494,244.44528155389494,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,-202.7081597193084,-202.7081597193084,-202.7081597193084,-192.35850351962918,-192.35850351962918,-192.35850351962918,0.0,0.0,0.0,6976.001629307051
3,2013-01-05,6732.413724896386,3145.785857862304,9825.786625407234,6732.413724896386,6732.413724896386,-456.51103129759645,-456.51103129759645,-456.51103129759645,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,-857.8598538535433,-857.8598538535433,-857.8598538535433,-238.16312223688573,-238.16312223688573,-238.16312223688573,0.0,0.0,0.0,6275.9026935987895
4,2013-01-07,6734.128479182848,5277.621730284101,12203.565673841451,6734.128479182848,6734.128479182848,2034.5425122055537,2034.5425122055537,2034.5425122055537,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,1686.568403444035,1686.568403444035,1686.568403444035,-291.5378360313139,-291.5378360313139,-291.5378360313139,0.0,0.0,0.0,8768.670991388402
5,2013-01-08,6734.98585632608,3951.7434212209782,10588.262177564715,6734.98585632608,6734.98585632608,661.5245160950823,661.5245160950823,661.5245160950823,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,323.08253189058746,323.08253189058746,323.08253189058746,-301.0699605883377,-301.0699605883377,-301.0699605883377,0.0,0.0,0.0,7396.510372421162
6,2013-01-09,6735.843233469311,3830.6473434089116,10428.054745675752,6735.843233469311,6735.843233469311,398.78622142541894,398.78622142541894,398.78622142541894,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,60.03631648691949,60.03631648691949,60.03631648691949,-300.76203985433307,-300.76203985433307,-300.76203985433307,0.0,0.0,0.0,7134.62945489473
7,2013-01-10,6736.700610612542,3524.1804975409555,10195.982275876648,6736.700610612542,6736.700610612542,190.37257071963575,190.37257071963575,190.37257071963575,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,-157.1638123637602,-157.1638123637602,-157.1638123637602,-291.97556170943653,-291.97556170943653,-291.97556170943653,0.0,0.0,0.0,6927.073181332177
8,2013-01-11,6737.557987755771,3486.8163759015806,10421.061923781788,6737.557987755771,6737.557987755771,160.64520415633916,160.64520415633916,160.64520415633916,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,639.5119447928325,0.0,0.0,0.0,-202.7081597171878,-202.7081597171878,-202.7081597171878,-276.1585809193056,-276.1585809193056,-276.1585809193056,0.0,0.0,0.0,6898.20319191211
9,2013-01-12,6738.415364899002,2389.899937732039,9208.523587519796,6738.415364899002,6738.415364899002,-1112.6677461877673,-1112.6677461877673,-1112.6677461877673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-857.8598538522294,-857.8598538522294,-857.8598538522294,-254.80789233553773,-254.80789233553773,-254.80789233553773,0.0,0.0,0.0,5625.747618711235
10,2013-01-14,6740.1301191854645,4691.409900384541,11770.266201357566,6740.1301191854645,6740.1301191854645,1485.0544627162053,1485.0544627162053,1485.0544627162053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.5684034426947,1686.5684034426947,1686.5684034426947,-201.51394072648944,-201.51394072648944,-201.51394072648944,0.0,0.0,0.0,8225.18458190167
